duracion_segundos,bytes_enviados,paquetes,intentos_fallidos,puertos_contactados,etiqueta_real,prediccion,puntaje_anomalia
46.52032230855922,3951.1953861125558,56.69589992427774,0,2,0,0,0.18466131678333741
51.79229180734617,4681.043690285555,54.41310580767483,1,0,0,0,0.13208472152873607
17.909509224020255,5028.024421327747,63.0930634973311,0,1,0,0,0.1154351121047098
33.116055917437166,4237.36985797601,34.861040477074624,0,1,0,0,0.18751752281748663
26.50429489794557,5021.36234964098,62.95211355912322,0,1,0,0,0.1450499976070524
51.228140717769534,4561.069959474663,47.806364044901365,0,3,0,0,0.18453568733094283
28.124742156897028,3046.3813656850416,49.200944904518416,0,1,0,0,0.1488492484643325
29.109236055500826,3734.53159121163,35.824971789857365,0,1,0,0,0.16844239243796455
47.59518181306613,5305.534482668504,51.227112239002686,0,1,0,0,0.18995116109978555
30.600960491965154,5427.255108628658,48.92415967178767,0,1,0,0,0.18373327369752362
34.7232273007099,5167.914741964703,60.32367724678116,0,2,0,0,0.17918623026335867
41.044564818858056,4534.20313035138,56.24112719986013,0,2,0,0,0.1931877806096554
49.878047007542975,4658.797399749503,54.75816719344709,0,2,0,0,0.18819337459086355
116.85983808845812,13713.660482108962,144.9855855566081,9,17,1,1,-0.11208216596048293
42.925608565254386,4073.5445876361755,67.18780233448135,0,1,0,0,0.13741384610507007
30.196771948153167,4884.474925684516,48.01107339191742,3,0,0,0,0.03871158054078061
41.362208143014975,3998.2573934929496,43.099609649985055,0,2,0,0,0.2032965631516922
52.52993052482886,4758.411748681642,34.57955587756897,0,4,0,0,0.149046447428887
41.464117775744334,4391.656952441762,36.049301577233955,0,4,0,0,0.1693351577867947
38.438283347587785,5612.4838576893935,42.52974299254004,2,4,0,0,0.0775478668858508
32.75217775941015,5033.274254281065,38.094589476837406,0,0,0,0,0.17455112482766016
43.320289591960226,5970.088379070987,38.8234810456565,0,0,0,0,0.15130155322093397
45.9759794949454,4976.723478921058,40.12771435886448,0,1,0,0,0.19607118804046375
40.577019359936585,4877.579199516325,44.37808983000689,0,5,0,0,0.12745834530626754
46.850686128318,2250.534856613784,39.558859978858074,1,2,0,0,0.11308320449984705
47.60702826781613,5346.694069189394,39.26398227103099,0,0,0,0,0.1618969394542759
34.95225612681569,4856.223180093668,43.55481329284482,1,0,0,0,0.15046663452044123
118.99734571406339,20434.843972962615,206.35816539124147,5,17,1,1,-0.12912683707366013
40.34493787521781,3425.7268514191683,48.49800024567907,0,1,0,0,0.18049402269594172
31.69710316142507,5938.782453454245,36.627375689503,0,3,0,0,0.16085788314960137
22.62298790203211,5327.168834688991,36.01215951676872,0,3,0,0,0.1530328318514581
25.229628202792536,4323.285135823519,27.30924095110882,1,4,0,0,0.09194677352684782
45.65762028563195,3371.139519147676,74.85259002603411,1,2,0,0,0.07158337815332089
23.40640322842797,4519.144419062455,45.6934433703625,0,1,0,0,0.1756399222629592
40.29412209110731,4550.984932407397,48.476764835383364,0,2,0,0,0.20634352285999175
40.698504621352,5935.054556902475,29.462412339839357,2,2,0,0,0.06599725882676394
35.50215030940483,4881.239159034115,42.97019362604343,0,1,0,0,0.2013999905373371
42.18239506070194,4080.567148318582,39.5044286409142,0,2,0,0,0.20322787701643014
35.27993425207167,6097.779803348561,71.93033663980496,0,3,0,0,0.08306284334167435
51.70654152546831,4018.288309595489,47.2323891412916,1,6,0,0,0.07107582887440972
47.489437804625865,4672.844204841029,26.33460048639384,1,3,0,0,0.13044769119659033
43.55344332477491,5087.090590572077,44.7347874075094,0,2,0,0,0.19855739141706202
49.904996187856355,4984.880393201733,53.82333062323409,0,2,0,0,0.1881279781824351
152.8886742182692,13741.90164703882,161.74010806126552,9,13,1,1,-0.12611199849446386
47.555546103083344,3099.6939184167354,49.87872284871074,0,2,0,0,0.16994735165576202
32.79739747409447,4367.69819853436,46.847405788957246,0,3,0,0,0.1966363943988469
54.34055954709811,5679.277871507647,44.4759554942253,0,5,0,0,0.0951508549245198
28.934016109868494,4316.693624840731,54.68184660532861,0,2,0,0,0.18583955501439875
39.33342761324057,3821.923916688435,38.39678860526553,0,5,0,0,0.12832580586539344
28.01975151113451,3823.0592349684753,48.423378344896214,0,2,0,0,0.18248346208087252
40.22102055027462,5598.930325972818,55.729780477660114,0,1,0,0,0.18031270604253247
54.26071928137701,4516.964660650363,49.79441518086064,1,2,0,0,0.169406391167492
39.2856957272584,3876.3853219836833,47.46504778432005,1,1,0,0,0.17590937819944907
22.256965050641902,4060.035520392353,31.613942002767512,0,1,0,0,0.14098641776078308
22.903021765438517,3912.6384186278483,47.39246864111149,1,1,0,0,0.138358215911006
32.77952065324724,5207.220142785749,32.70450405547583,1,2,0,0,0.15374531650807088
48.7091994867843,4964.345295933689,22.80699627252465,0,0,0,0,0.10062401216923106
34.43898768625046,5078.45048388079,62.32514999485092,1,4,0,0,0.10787636054592709
17.592817688899025,4753.072281572438,52.84604287898024,1,1,0,0,0.11811764955454729
33.79253859879553,4539.242201735208,64.54157433750287,1,2,0,0,0.1401432713848017
50.79519850519901,4530.6751214333035,49.25887206193036,0,0,0,0,0.17072958198907595
52.371994269951415,5128.400982252231,39.04338705956508,1,2,0,0,0.15883343002393763
46.357650134983395,3992.1771612083503,32.07737304894381,0,1,0,0,0.17978166954076064
86.23277788785666,4207.65175484224,51.03187431082343,1,2,0,0,0.07410087449058606
44.96121883868441,4296.168997288626,34.148494734422016,0,3,0,0,0.18361008736805662
27.027240068801234,4428.322747878857,44.571766186884254,0,0,0,0,0.16327444367409122
39.60696075740802,5294.798799432443,35.74575373940412,0,2,0,0,0.190428171257767
43.43038468869886,2563.3661388036253,44.66387435296287,1,1,0,0,0.13387861026456999
44.336747266100964,4970.551939231949,50.935567222808615,1,2,0,0,0.17889677451108982
57.298823447894804,4666.096172877334,51.897078052451945,0,3,0,0,0.16750697099502104
42.09493375398207,5555.456117333428,36.82911368931809,1,0,0,0,0.13625027887172209
29.664589584060835,3332.851246839738,38.49976065593102,1,2,0,0,0.1414211971156149
40.85879484663271,4475.236585454428,44.86162253905763,0,1,0,0,0.2019509336911276
24.645076399171582,4072.586709039728,42.81954104607626,0,4,0,0,0.15233092879787308
32.92762291666946,3976.487177446221,65.24309623286852,0,3,0,0,0.14460544857961127
32.527605762152874,5965.556960815684,50.8855326977072,0,0,0,0,0.14722248847874375
36.773335713342036,3918.632238787918,63.70965175371782,0,1,0,0,0.15040043596305475
42.36233483042948,4524.197255095078,45.97983153470896,0,2,0,0,0.2055967318622463
29.726994089093594,1914.9640080465156,25.803268438023437,0,3,0,0,0.043646583032295405
32.90114333397004,4877.117108429441,48.5561334878566,1,2,0,0,0.17656857107031432
55.258661139929906,5267.4963076099975,62.586204841951336,0,3,0,0,0.13448107766504164
39.13587854103599,3913.7237967469964,43.02661579692674,1,0,0,0,0.1506808594594749
45.54524169115925,4383.161370239916,65.89538721694774,0,4,0,0,0.11661640560174497
52.04239477470429,4064.5027493511107,43.487267163464885,3,3,0,0,0.05602569451203576
43.8899962298613,3838.02305166921,65.99721789166516,1,3,0,0,0.11202195728049402
44.4537504804557,5421.656273230316,37.16234334413603,0,1,0,0,0.19015518146361854
205.16918790187853,17308.82513860082,107.86385063090958,5,23,1,1,-0.16453862666126406
39.54838357090182,5667.295091904998,50.987943895619104,0,2,0,0,0.1849981183355538
52.64370155929407,5498.729857760601,55.305805856240575,0,3,0,0,0.1610730807246677
49.499952327555235,4853.986055454935,38.99576434261295,0,4,0,0,0.16700228045760762
14.513251308282317,4307.901416162813,56.94109403047372,2,2,0,0,0.04242910987093562
51.46170784601486,4982.987477274558,51.17005949576698,0,1,0,0,0.1858196667265578
32.04851489264984,4379.3845499943745,42.70609255931972,0,1,0,0,0.19894426782140595
